Geneid 	 Lymph_1 	 Lymph_2 	 Myelo_1 	 Myelo_2
SHISA3 	 3 	 1 	 0 	 1
ATP8A1 	 706 	 1400 	 1385 	 2300
LOC124900698 	 1 	 1 	 0 	 0
LOC105374430 	 0 	 0 	 0 	 0
GRXCR1 	 0 	 0 	 0 	 0
LOC105374432 	 0 	 0 	 0 	 0
LOC105374434 	 0 	 0 	 0 	 0
LOC105374433 	 0 	 0 	 0 	 0
LINC02383 	 0 	 0 	 0 	 0
LOC124900848 	 0 	 0 	 0 	 1
LOC124900849 	 0 	 0 	 0 	 0
LOC105374438 	 0 	 0 	 0 	 0
LINC02475 	 0 	 0 	 0 	 0
KCTD8 	 0 	 0 	 0 	 0
LOC107986275 	 0 	 0 	 0 	 0
YIPF7 	 3 	 1 	 1 	 0
GUF1 	 419 	 487 	 383 	 500
GNPDA2 	 190 	 150 	 165 	 170
LOC105374439 	 0 	 0 	 0 	 0
LOC112268465 	 0 	 1 	 0 	 0
LOC105374440 	 0 	 0 	 0 	 0
LOC105374441 	 0 	 0 	 0 	 0
LOC124900850 	 0 	 0 	 0 	 0
GABRG1 	 73 	 1 	 0 	 1
GABRA2 	 0 	 6 	 0 	 2
COX7B2 	 0 	 0 	 0 	 0
GABRA4 	 0 	 0 	 0 	 1
GABRB1 	 0 	 0 	 0 	 0
LOC124900908 	 0 	 0 	 0 	 0
COMMD8 	 171 	 162 	 386 	 331
LOC107986277 	 0 	 0 	 0 	 0
ATP10D 	 632 	 857 	 1999 	 841
CORIN 	 2 	 5 	 9 	 5
LOC105374444 	 10 	 53 	 15 	 3
MIR8053 	 0 	 0 	 0 	 0
LOC101927179 	 0 	 1 	 0 	 0
NFXL1 	 170 	 153 	 135 	 268
LOC101927157 	 0 	 0 	 0 	 2
CNGA1 	 2 	 0 	 0 	 0
NIPAL1 	 2 	 1 	 0 	 2
TXK 	 17 	 36 	 214 	 177
TEC 	 123 	 83 	 445 	 422
LOC105374445 	 87 	 23 	 161 	 91
SLAIN2 	 718 	 773 	 1088 	 1056
SLC10A4 	 4 	 4 	 0 	 8
ZAR1 	 0 	 1 	 0 	 0
FRYL 	 1289 	 1712 	 1704 	 1713
OCIAD1 	 507 	 512 	 427 	 498
OCIAD1-AS1 	 24 	 38 	 30 	 25
OCIAD2 	 35 	 79 	 69 	 53
LOC124900176 	 0 	 0 	 0 	 0
CWH43 	 0 	 0 	 0 	 0
LOC101927209 	 0 	 0 	 0 	 0
DCUN1D4 	 481 	 477 	 332 	 423
LRRC66 	 1 	 1 	 4 	 0
SGCB 	 37 	 31 	 1 	 25
LINC02480 	 0 	 0 	 0 	 0
SPATA18 	 8 	 10 	 0 	 3
LOC107986279 	 0 	 2 	 0 	 0
LOC124900897 	 0 	 0 	 0 	 0
USP46 	 280 	 157 	 156 	 42
USP46-DT 	 22 	 14 	 17 	 6
DANCR 	 185 	 200 	 64 	 112
MIR4449 	 0 	 0 	 0 	 0
SNORA26 	 5 	 3 	 0 	 3
ERVMER34-1 	 0 	 0 	 0 	 0
LOC124900185 	 0 	 0 	 0 	 0
LOC107986281 	 0 	 0 	 0 	 0
LINC01618 	 0 	 1 	 1 	 1
LOC124900700 	 0 	 1 	 0 	 0
RASL11B 	 1 	 5 	 1 	 4
SCFD2 	 417 	 551 	 227 	 333
LOC101928658 	 2 	 6 	 0 	 2
LOC124900701 	 0 	 3 	 1 	 2
LOC105377654 	 0 	 1 	 1 	 1
FIP1L1 	 388 	 340 	 324 	 344
LNX1 	 60 	 46 	 29 	 44
LNX1-AS1 	 0 	 0 	 0 	 0
LNX1-AS2 	 0 	 0 	 0 	 0
LOC100506444 	 0 	 0 	 0 	 0
LOC124900702 	 0 	 1 	 2 	 0
RPL21P44 	 3 	 6 	 14 	 11
CHIC2 	 115 	 177 	 212 	 209
GSX2 	 0 	 0 	 0 	 0
LOC124900899 	 0 	 0 	 0 	 0
PDGFRA 	 84 	 54 	 0 	 17
LINC02283 	 0 	 0 	 0 	 0
LINC02260 	 0 	 0 	 0 	 0
KIT 	 25 	 73 	 75 	 914
LOC105377657 	 2 	 0 	 0 	 6
LINC02358 	 0 	 0 	 0 	 0
LOC124900703 	 0 	 0 	 0 	 0
KDR 	 25 	 51 	 1 	 61
SRD5A3 	 159 	 107 	 78 	 175
SRD5A3-AS1 	 9 	 2 	 4 	 5
LINC02928 	 16 	 13 	 4 	 12
TMEM165 	 612 	 446 	 538 	 704
CLOCK 	 437 	 477 	 385 	 437
LOC124900704 	 2 	 1 	 1 	 1
PDCL2 	 0 	 0 	 0 	 0
NMU 	 1 	 4 	 0 	 2
LOC105377660 	 0 	 0 	 0 	 0
EXOC1L 	 0 	 0 	 0 	 0
LOC105377661 	 0 	 0 	 0 	 0
EXOC1 	 473 	 453 	 605 	 644
LOC105377663 	 19 	 79 	 79 	 52
CEP135 	 363 	 463 	 400 	 507
LOC124900705 	 0 	 12 	 1 	 5
CRACD 	 5 	 39 	 3 	 110
LOC101928760 	 0 	 0 	 0 	 0
LOC124900707 	 0 	 0 	 0 	 0
AASDH 	 295 	 218 	 270 	 317
PPAT 	 508 	 288 	 228 	 393
PAICS 	 1290 	 963 	 530 	 928
LOC124900706 	 33 	 27 	 16 	 25
SRP72 	 1333 	 1632 	 1216 	 1434
ARL9 	 86 	 31 	 19 	 21
LOC105377665 	 3 	 1 	 0 	 1
THEGL 	 1 	 3 	 0 	 7
HOPX 	 154 	 6 	 213 	 42
LOC124900708 	 1 	 0 	 1 	 1
LOC105377666 	 0 	 0 	 0 	 0
CHAER1 	 0 	 1 	 0 	 1
LOC105377668 	 2 	 0 	 0 	 0
SPINK2 	 14 	 18 	 5 	 11
REST 	 936 	 1241 	 1380 	 1197
NOA1 	 654 	 842 	 468 	 831
POLR2B 	 1340 	 1198 	 1260 	 1626
IGFBP7 	 286 	 172 	 314 	 293
LOC124900898 	 1 	 0 	 4 	 0
IGFBP7-AS1 	 1 	 4 	 1 	 2
LOC107986283 	 0 	 1 	 0 	 0
LINC02380 	 0 	 0 	 0 	 0
LOC124900904 	 0 	 0 	 0 	 0
LOC105377670 	 0 	 0 	 0 	 0
LINC02494 	 0 	 0 	 0 	 0
LOC124900833 	 0 	 0 	 0 	 0
LOC107986228 	 0 	 0 	 0 	 0
LOC105377672 	 0 	 0 	 0 	 0
LOC105377246 	 0 	 0 	 0 	 0
LINC02429 	 0 	 0 	 0 	 0
LINC02619 	 0 	 0 	 0 	 0
LINC02496 	 0 	 0 	 0 	 0
MIR548AG1 	 0 	 0 	 0 	 0
LINC02271 	 0 	 0 	 0 	 0
LOC124900173 	 0 	 0 	 0 	 0
ADGRL3 	 1 	 1 	 0 	 1
ADGRL3-AS1 	 0 	 0 	 0 	 0
LOC101927145 	 0 	 0 	 0 	 0
LOC124900709 	 0 	 0 	 0 	 0
LOC105377253 	 0 	 0 	 0 	 0
LOC105377254 	 0 	 0 	 0 	 0
LOC124900851 	 0 	 0 	 0 	 0
TECRL 	 0 	 1 	 0 	 0
LOC107986284 	 0 	 1 	 0 	 0
LOC105377255 	 0 	 0 	 0 	 0
LINC02232 	 0 	 0 	 0 	 0
LINC02835 	 0 	 0 	 0 	 0
LOC124900852 	 0 	 1 	 0 	 0
EPHA5 	 0 	 0 	 0 	 0
EPHA5-AS1 	 0 	 1 	 0 	 0
LOC105377258 	 0 	 0 	 0 	 0
LOC105377259 	 0 	 0 	 0 	 0
LOC105377260 	 0 	 0 	 0 	 0
LOC105377261 	 0 	 0 	 0 	 0
MIR1269A 	 0 	 0 	 0 	 0
LOC105377262 	 0 	 1 	 0 	 0
LOC101927237 	 5 	 9 	 1 	 1
CENPC 	 625 	 617 	 503 	 548
STAP1 	 307 	 273 	 248 	 233
UBA6 	 894 	 968 	 898 	 991
UBA6-DT 	 223 	 207 	 214 	 136
GNRHR 	 10 	 11 	 8 	 10
LOC124900175 	 0 	 0 	 0 	 0
LOC102724780 	 15 	 13 	 15 	 20
TMPRSS11D 	 0 	 2 	 4 	 3
TMPRSS11A 	 2 	 3 	 0 	 0
TMPRSS11GP 	 0 	 0 	 0 	 0
TMPRSS11F 	 0 	 1 	 1 	 0
LOC550113 	 0 	 0 	 0 	 0
SYT14P1 	 0 	 0 	 0 	 0
FTLP10 	 0 	 0 	 0 	 0
TMPRSS11BNL 	 0 	 0 	 0 	 0
TMPRSS11B 	 0 	 0 	 0 	 0
YTHDC1 	 0 	 0 	 0 	 0
TMPRSS11E 	 0 	 0 	 0 	 0
UGT2B17 	 0 	 0 	 0 	 6
UGT2B15 	 0 	 0 	 0 	 0
UGT2B10 	 0 	 0 	 0 	 0
LOC124900853 	 0 	 0 	 0 	 0
UGT2A3 	 0 	 0 	 0 	 0
LOC105377265 	 0 	 0 	 0 	 0
UGT2B7 	 0 	 1 	 0 	 0
LOC105377267 	 2 	 7 	 393 	 298
UGT2B11 	 1 	 0 	 201 	 125
UGT2B28 	 0 	 0 	 16 	 7
UGT2B4 	 0 	 0 	 0 	 0
UGT2A1 	 0 	 1 	 0 	 0
UGT2A2 	 0 	 0 	 0 	 0
SULT1B1 	 34 	 29 	 915 	 474
SULT1E1 	 0 	 0 	 0 	 1
CSN1S1 	 0 	 0 	 0 	 0
CSN2 	 0 	 0 	 0 	 0
LOC105377269 	 0 	 0 	 0 	 0
STATH 	 0 	 0 	 0 	 0
HTN3 	 0 	 0 	 0 	 0
HTN1 	 0 	 0 	 0 	 0
CSN1S2AP 	 0 	 0 	 0 	 0
CSN1S2BP 	 0 	 0 	 0 	 0
PRR27 	 0 	 0 	 0 	 0
LOC105377270 	 0 	 0 	 0 	 0
ODAM 	 0 	 0 	 0 	 0
FDCSP 	 0 	 0 	 0 	 0
CSN3 	 0 	 0 	 0 	 0
CABS1 	 0 	 1 	 0 	 0
SMR3A 	 0 	 0 	 0 	 0
SMR3B 	 0 	 0 	 0 	 0
OPRPN 	 0 	 0 	 0 	 0
MUC7 	 0 	 0 	 0 	 0
AMTN 	 0 	 0 	 0 	 0
AMBN 	 0 	 4 	 14 	 1
ENAM 	 2 	 11 	 48 	 7
JCHAIN 	 260 	 831 	 1073 	 779
LOC101927297 	 3 	 49 	 64 	 0
UTP3 	 513 	 394 	 716 	 547
RUFY3 	 581 	 905 	 2216 	 997
LOC124900900 	 0 	 0 	 0 	 0
GRSF1 	 713 	 703 	 759 	 1172
LOC124900710 	 1 	 2 	 0 	 3
LOC124900887 	 0 	 0 	 0 	 0
LOC124900711 	 3 	 4 	 0 	 1
MOB1B 	 445 	 1446 	 827 	 1738
DCK 	 1344 	 1757 	 1210 	 1520
SLC4A4 	 9 	 16 	 5 	 7
LOC124900712 	 0 	 0 	 0 	 0
LOC124900836 	 0 	 0 	 0 	 0
LOC107986285 	 0 	 0 	 0 	 0
LOC105377271 	 0 	 0 	 0 	 0
GC 	 0 	 0 	 0 	 0
NPFFR2 	 0 	 1 	 0 	 0
ADAMTS3 	 5 	 10 	 2 	 6
LOC105377273 	 0 	 0 	 0 	 0
LOC107986286 	 0 	 0 	 0 	 1
COX18 	 262 	 204 	 203 	 318
LOC112268467 	 0 	 0 	 0 	 0
ANKRD17 	 2430 	 2657 	 2356 	 2956
LOC124900713 	 1 	 7 	 0 	 7
ANKRD17-DT 	 48 	 127 	 45 	 59
LOC124900180 	 0 	 0 	 0 	 0
LOC124900606 	 0 	 1 	 0 	 1
ALB 	 0 	 3 	 0 	 2
AFP 	 0 	 1 	 0 	 0
AFM 	 0 	 0 	 0 	 0
LINC02499 	 0 	 0 	 0 	 0
LOC107986287 	 0 	 1 	 0 	 0
RASSF6 	 8 	 6 	 4 	 4
LOC124900714 	 0 	 0 	 0 	 0
LOC105377272 	 0 	 0 	 0 	 0
CXCL8 	 17 	 126 	 830 	 277
CXCL6 	 0 	 1 	 0 	 0
PF4V1 	 1 	 3 	 2 	 7
CXCL1 	 3 	 7 	 3 	 5
PF4 	 31 	 44 	 9 	 31
PPBP 	 120 	 167 	 41 	 143
CXCL5 	 2 	 0 	 7 	 3
LOC124900715 	 0 	 0 	 0 	 0
CXCL3 	 3 	 1 	 1 	 4
LOC105377275 	 0 	 2 	 0 	 1
PPBPP2 	 0 	 0 	 0 	 0
CXCL2 	 3 	 6 	 10 	 7
MTHFD2L 	 292 	 342 	 117 	 292
LOC105377277 	 0 	 0 	 0 	 0
LOC105377276 	 3 	 7 	 0 	 10
EPGN 	 1 	 0 	 0 	 4
EREG 	 4 	 59 	 5 	 16
AREG 	 0 	 13 	 5 	 2
LOC107986229 	 0 	 0 	 0 	 0
LOC124900716 	 0 	 0 	 0 	 0
BTC 	 0 	 1 	 0 	 0
LOC105377278 	 0 	 0 	 0 	 0
LOC105377282 	 0 	 0 	 0 	 0
LOC105377280 	 0 	 0 	 0 	 0
PARM1 	 36 	 32 	 36 	 57
PARM1-AS1 	 0 	 0 	 0 	 0
LOC107986289 	 0 	 0 	 0 	 0
LINC02562 	 0 	 0 	 0 	 0
LOC100506253 	 1 	 0 	 0 	 0
LINC02483 	 0 	 0 	 0 	 0
LOC107986230 	 0 	 0 	 0 	 0
RCHY1 	 313 	 351 	 452 	 455
THAP6 	 251 	 218 	 253 	 218
LOC124900717 	 0 	 0 	 2 	 0
ODAPH 	 1 	 0 	 1 	 0
CDKL2 	 1 	 2 	 1 	 3
G3BP2 	 1429 	 1231 	 1643 	 1710
USO1 	 735 	 890 	 798 	 1127
LOC105377284 	 0 	 0 	 0 	 0
PPEF2 	 1 	 1 	 4 	 11
LOC105377285 	 0 	 0 	 0 	 0
NAAA 	 190 	 145 	 329 	 840
SDAD1 	 398 	 299 	 301 	 435
SDAD1-AS1 	 1 	 0 	 1 	 0
CXCL9 	 11 	 21 	 11 	 5
ART3 	 0 	 0 	 0 	 0
CXCL10 	 6 	 2 	 49 	 18
CXCL11 	 0 	 2 	 7 	 0
NUP54 	 513 	 484 	 340 	 451
LOC124900718 	 22 	 7 	 4 	 10
SCARB2 	 1142 	 1366 	 1327 	 1693
FAM47E 	 6 	 4 	 7 	 2
LOC105377286 	 0 	 1 	 3 	 0
FAM47E-STBD1 	 0 	 0 	 0 	 0
STBD1 	 8 	 10 	 79 	 28
CCDC158 	 0 	 0 	 1 	 1
LOC124900891 	 0 	 0 	 0 	 0
SHROOM3 	 123 	 2 	 1 	 3
MIR4450 	 0 	 0 	 0 	 0
MIR548AH 	 0 	 0 	 0 	 0
LOC105377290 	 0 	 0 	 0 	 0
SHROOM3-AS1 	 1 	 0 	 0 	 0
LOC124900719 	 0 	 0 	 0 	 0
LOC124900866 	 0 	 0 	 0 	 0
SOWAHB 	 0 	 1 	 0 	 0
LOC105377294 	 18 	 18 	 6 	 25
SEPTIN11 	 2448 	 1090 	 1142 	 1369
LOC105377291 	 56 	 157 	 61 	 46
CCNI 	 2444 	 2603 	 2253 	 2471
LOC101928864 	 3 	 7 	 7 	 5
CCNG2 	 459 	 511 	 840 	 734
LOC107986292 	 1 	 0 	 1 	 1
LOC105377295 	 0 	 1 	 0 	 0
CXCL13 	 0 	 0 	 1 	 0
LOC105377296 	 1 	 0 	 1 	 2
LOC105377297 	 0 	 0 	 0 	 0
CNOT6L 	 2054 	 4376 	 2019 	 1992
MRPL1 	 204 	 216 	 100 	 128
LOC102724916 	 1 	 1 	 2 	 1
FRAS1 	 118 	 170 	 0 	 1
LOC107986293 	 6 	 24 	 0 	 0
SNORD161 	 0 	 0 	 0 	 0
ANXA3 	 94 	 112 	 302 	 163
LOC124900721 	 61 	 0 	 3 	 0
LOC124900901 	 2 	 0 	 0 	 0
LINC01094 	 135 	 9 	 9 	 11
LOC101928893 	 0 	 0 	 1 	 1
BMP2K 	 1062 	 1095 	 396 	 645
LOC124900722 	 124 	 237 	 53 	 62
LOC105377299 	 4 	 8 	 2 	 1
PAQR3 	 359 	 691 	 189 	 273
LINC01088 	 1 	 0 	 0 	 0
LOC124900723 	 0 	 0 	 0 	 0
NAA11 	 1 	 14 	 0 	 4
LOC105377300 	 0 	 0 	 0 	 0
GK2 	 0 	 0 	 0 	 0
LINC00989 	 3 	 2 	 1 	 3
LOC107986294 	 0 	 1 	 0 	 1
LINC02469 	 0 	 0 	 0 	 0
LOC105377302 	 0 	 0 	 0 	 3
PCAT4 	 0 	 0 	 0 	 0
LOC124900174 	 0 	 0 	 0 	 0
ANTXR2 	 1221 	 387 	 2455 	 2226
LOC124900724 	 5 	 1 	 8 	 24
PRDM8-AS1 	 87 	 42 	 69 	 39
PRDM8 	 1309 	 255 	 863 	 963
LOC124900725 	 0 	 0 	 0 	 0
FGF5 	 3 	 0 	 0 	 0
CFAP299 	 15 	 1 	 0 	 0
LOC105377305 	 0 	 0 	 0 	 0
BMP3 	 428 	 35 	 12 	 31
PRKG2 	 136 	 8 	 0 	 2
PRKG2-AS1 	 0 	 0 	 0 	 0
LOC124900726 	 0 	 0 	 1 	 0
RASGEF1B 	 62 	 146 	 608 	 242
LOC105377306 	 1 	 0 	 0 	 0
LOC105377308 	 1 	 2 	 4 	 7
VAMP9P 	 0 	 0 	 0 	 0
HNRNPD 	 1523 	 1339 	 1019 	 1228
HNRNPD-DT 	 8 	 17 	 5 	 10
LOC124900890 	 0 	 0 	 0 	 0
HNRNPDL 	 2405 	 2370 	 1371 	 1950
ENOPH1 	 656 	 538 	 375 	 542
LOC105377310 	 21 	 42 	 8 	 19
TMEM150C 	 424 	 484 	 16 	 10
LINC00575 	 0 	 0 	 0 	 0
SCD5 	 860 	 271 	 239 	 64
LOC124900727 	 19 	 17 	 18 	 4
MIR575 	 0 	 0 	 0 	 0
SEC31A 	 1324 	 1341 	 1498 	 1896
THAP9-AS1 	 601 	 528 	 242 	 288
SNORD143 	 31 	 34 	 21 	 23
SNORD144 	 10 	 18 	 7 	 2
THAP9 	 182 	 143 	 104 	 102
LIN54 	 266 	 323 	 452 	 348
COPS4 	 323 	 287 	 224 	 344
PLAC8 	 122 	 282 	 704 	 717
LOC124900167 	 1 	 3 	 10 	 16
COQ2 	 142 	 124 	 163 	 222
HPSE 	 860 	 118 	 882 	 706
LOC105377313 	 0 	 0 	 2 	 0
HELQ 	 266 	 252 	 298 	 273
MRPS18C 	 28 	 23 	 17 	 24
ABRAXAS1 	 135 	 249 	 178 	 177
GPAT3 	 77 	 15 	 523 	 266
LOC105377315 	 0 	 0 	 0 	 0
LINC02994 	 0 	 0 	 0 	 0
NKX6-1 	 0 	 2 	 0 	 0
LOC102723338 	 0 	 1 	 0 	 0
CDS1 	 3 	 2 	 0 	 1
LOC124900854 	 2 	 0 	 0 	 0
WDFY3 	 799 	 195 	 188 	 193
WDFY3-AS1 	 0 	 0 	 0 	 0
WDFY3-AS2 	 30 	 5 	 0 	 1
ARHGAP24 	 29 	 18 	 343 	 190
LOC105377319 	 0 	 2 	 18 	 5
LOC124900728 	 0 	 5 	 11 	 5
MIR4451 	 0 	 0 	 0 	 0
MAPK10 	 12 	 2 	 1 	 2
MAPK10-AS1 	 0 	 0 	 0 	 1
MIR4452 	 0 	 0 	 0 	 0
PTPN13 	 24 	 24 	 30 	 30
SLC10A6 	 0 	 1 	 0 	 1
C4orf36 	 10 	 7 	 13 	 14
AFF1-AS1 	 31 	 41 	 56 	 44
AFF1 	 1921 	 4000 	 3276 	 3822
LOC105377320 	 8 	 7 	 2 	 0
KLHL8 	 515 	 489 	 843 	 752
MIR5705 	 0 	 0 	 0 	 0
HSD17B13 	 8 	 21 	 17 	 38
HSD17B11 	 499 	 765 	 898 	 1131
NUDT9 	 292 	 269 	 172 	 240
LOC105377321 	 0 	 1 	 0 	 0
SPARCL1 	 278 	 61 	 0 	 36
LOC124900729 	 0 	 1 	 0 	 0
DSPP 	 0 	 1 	 0 	 0
DMP1 	 1 	 0 	 0 	 0
LOC105377323 	 0 	 0 	 0 	 1
LOC105377324 	 0 	 0 	 0 	 0
IBSP 	 34 	 14 	 0 	 0
MEPE 	 0 	 1 	 0 	 0
LOC124900730 	 0 	 0 	 0 	 0
SPP1 	 302 	 26 	 56 	 4
PKD2 	 1091 	 1170 	 858 	 790
ABCG2 	 198 	 123 	 42 	 117
LOC124900867 	 1 	 1 	 0 	 0
PPM1K 	 551 	 732 	 890 	 504
PPM1K-DT 	 0 	 0 	 1 	 0
LOC124900731 	 4 	 0 	 4 	 0
LOC105377326 	 0 	 0 	 0 	 0
HERC6 	 225 	 119 	 865 	 190
LOC102723458 	 369 	 360 	 280 	 56
HERC5 	 603 	 420 	 1221 	 243
PIGY 	 0 	 0 	 0 	 0
PYURF 	 0 	 0 	 0 	 0
PIGY-DT 	 0 	 2 	 1 	 1
HERC3 	 698 	 1032 	 1471 	 1158
NAP1L5 	 79 	 156 	 49 	 46
FAM13A-AS1 	 102 	 163 	 150 	 125
FAM13A 	 236 	 454 	 281 	 339
LOC124900732 	 5 	 49 	 2 	 15
LOC105377327 	 4 	 3 	 9 	 2
TIGD2 	 216 	 153 	 199 	 238
LOC124900834 	 0 	 0 	 0 	 0
GPRIN3 	 314 	 2930 	 1063 	 1298
LOC105377328 	 0 	 0 	 0 	 0
LOC124900855 	 0 	 0 	 0 	 0
LOC105377329 	 0 	 0 	 0 	 0
LOC124900602 	 0 	 33 	 0 	 0
SNCA 	 495 	 745 	 346 	 631
LOC124900856 	 0 	 32 	 28 	 26
SNCA-AS1 	 0 	 4 	 0 	 2
MMRN1 	 489 	 660 	 766 	 383
LOC105377331 	 0 	 0 	 0 	 0
CCSER1 	 2 	 89 	 9 	 63
LOC124900733 	 0 	 2 	 0 	 0
LOC112268468 	 0 	 0 	 0 	 0
LNCPRESS2 	 0 	 0 	 0 	 0
GRID2 	 1 	 4 	 0 	 0
ATOH1 	 0 	 0 	 0 	 0
SMARCAD1-DT 	 0 	 0 	 0 	 0
LOC124900734 	 0 	 0 	 0 	 0
SMARCAD1 	 702 	 762 	 569 	 863
HPGDS 	 14 	 5 	 29 	 217
PDLIM5 	 211 	 94 	 665 	 454
BMPR1B-DT 	 8 	 13 	 0 	 0
BMPR1B 	 631 	 740 	 18 	 0
LOC124900735 	 31 	 65 	 3 	 0
UNC5C 	 85 	 67 	 19 	 0
LOC124900736 	 0 	 0 	 0 	 0
UNC5C-AS1 	 0 	 2 	 5 	 0
LOC105377337 	 0 	 0 	 0 	 0
PDHA2 	 0 	 0 	 0 	 0
LINC02267 	 0 	 0 	 0 	 0
LOC124900737 	 0 	 0 	 0 	 0
STPG2-AS1 	 0 	 0 	 0 	 0
STPG2 	 0 	 2 	 2 	 0
LOC105377340 	 0 	 0 	 0 	 0
RAP1GDS1 	 555 	 511 	 611 	 683
TSPAN5 	 370 	 277 	 132 	 279
LOC112267901 	 1 	 0 	 1 	 0
TSPAN5-DT 	 10 	 4 	 3 	 1
LOC105377343 	 1 	 0 	 0 	 0
EIF4E 	 181 	 160 	 75 	 121
METAP1 	 827 	 712 	 572 	 776
MIR3684 	 0 	 0 	 0 	 0
LOC124900738 	 1 	 3 	 1 	 1
ADH5 	 612 	 462 	 503 	 647
LOC100507053 	 27 	 45 	 25 	 30
LOC124900739 	 5 	 4 	 2 	 1
ADH4 	 0 	 1 	 0 	 2
PCNAP1 	 0 	 0 	 0 	 0
ADH6 	 11 	 11 	 4 	 1
ADH1A 	 4 	 0 	 0 	 0
ADH1B 	 37 	 21 	 0 	 1
ADH1C 	 1 	 0 	 0 	 0
LOC102723576 	 0 	 0 	 0 	 0
ADH7 	 0 	 1 	 0 	 0
C4orf17 	 0 	 0 	 0 	 0
TRMT10A 	 93 	 38 	 80 	 100
MTTP 	 1 	 0 	 0 	 0
C4orf54 	 0 	 1 	 0 	 0
DAPP1 	 197 	 281 	 1212 	 809
LAMTOR3 	 392 	 326 	 381 	 406
DNAJB14 	 739 	 849 	 1015 	 873
H2AZ1 	 572 	 565 	 456 	 472
H2AZ1-DT 	 1 	 4 	 0 	 3
LOC107986232 	 0 	 1 	 0 	 0
DDIT4L 	 12 	 4 	 1564 	 2
DDIT4L-AS1 	 0 	 0 	 1 	 0
SNORA101A 	 0 	 0 	 0 	 0
EMCN 	 7 	 16 	 3 	 8
LOC124900740 	 0 	 0 	 0 	 0
LOC105377345 	 0 	 0 	 0 	 0
LINC01216 	 0 	 0 	 0 	 1
LINC01217 	 0 	 0 	 0 	 0
PPP3CA 	 980 	 1670 	 1216 	 1175
MIR8066 	 0 	 0 	 1 	 0
MIR1255A 	 2 	 1 	 0 	 0
FLJ20021 	 40 	 40 	 30 	 29
LOC124900741 	 0 	 0 	 0 	 0
LOC107986297 	 0 	 0 	 0 	 0
BANK1 	 1341 	 2200 	 1206 	 224
SLC39A8 	 716 	 734 	 694 	 588
LOC105377621 	 9 	 5 	 1 	 1
NFKB1 	 1241 	 1187 	 1657 	 1202
LOC124900742 	 2 	 1 	 0 	 0
LOC105377347 	 18 	 79 	 60 	 35
MANBA 	 617 	 616 	 1587 	 1516
LOC102723704 	 1 	 5 	 1 	 1
LOC124900743 	 2 	 2 	 0 	 1
UBE2D3 	 1935 	 2134 	 1992 	 1915
UBE2D3-AS1 	 15 	 13 	 15 	 15
LOC124900903 	 1 	 0 	 0 	 0
CISD2 	 306 	 199 	 133 	 230
SLC9B1 	 5 	 10 	 2 	 6
SLC9B2 	 265 	 273 	 202 	 321
BDH2 	 200 	 176 	 143 	 115
CENPE 	 380 	 628 	 120 	 251
LINC02428 	 1 	 1 	 0 	 0
TACR3 	 0 	 0 	 0 	 0
LOC105377350 	 0 	 0 	 0 	 0
LOC124900744 	 0 	 0 	 0 	 0
CXXC4 	 1 	 0 	 0 	 0
CXXC4-AS1 	 0 	 0 	 0 	 0
LOC124900745 	 0 	 0 	 0 	 0
LOC124900746 	 0 	 0 	 0 	 0
LOC105377351 	 0 	 0 	 0 	 0
LOC124900868 	 2 	 2 	 101 	 66
TET2 	 428 	 1072 	 4044 	 2938
TET2-AS1 	 0 	 2 	 2 	 4
PPA2 	 152 	 110 	 106 	 180
LOC105377352 	 0 	 0 	 0 	 0
ARHGEF38 	 2 	 1 	 3 	 0
ARHGEF38-IT1 	 0 	 0 	 0 	 0
INTS12 	 199 	 179 	 162 	 199
LOC124900748 	 1 	 2 	 4 	 3
LOC124900747 	 1 	 1 	 2 	 0
GSTCD 	 129 	 207 	 143 	 149
LOC107986190 	 1 	 1 	 1 	 0
GSTCD-AS1 	 0 	 2 	 0 	 0
LOC124900749 	 18 	 56 	 9 	 25
NPNT 	 318 	 1 	 0 	 0
LOC101929577 	 3 	 4 	 3 	 5
TBCK 	 400 	 430 	 494 	 454
LOC124900750 	 0 	 1 	 1 	 0
AIMP1 	 518 	 697 	 408 	 492
GIMD1 	 0 	 0 	 0 	 0
LINC02173 	 0 	 0 	 0 	 0
LOC105377356 	 0 	 0 	 0 	 0
DKK2 	 0 	 0 	 0 	 0
LOC102725220 	 0 	 0 	 0 	 0
LOC105377358 	 2 	 1 	 0 	 1
PAPSS1 	 676 	 715 	 925 	 960
SGMS2 	 8 	 13 	 81 	 149
CYP2U1-AS1 	 0 	 0 	 0 	 2
LOC107986298 	 42 	 16 	 9 	 7
LOC124900751 	 1 	 7 	 1 	 0
CYP2U1 	 65 	 394 	 185 	 95
LOC107986299 	 0 	 7 	 0 	 0
HADH 	 938 	 823 	 394 	 595
LEF1 	 2318 	 1979 	 380 	 222
LEF1-AS1 	 178 	 149 	 9 	 11
LOC124900752 	 16 	 13 	 2 	 2
LOC124900753 	 1 	 0 	 0 	 0
RPL34-DT 	 29 	 9 	 1 	 6
LOC101929621 	 375 	 111 	 0 	 4
RPL34 	 107 	 159 	 102 	 110
OSTC 	 454 	 457 	 316 	 472
ETNPPL 	 0 	 0 	 2 	 0
COL25A1 	 9 	 4 	 9 	 18
LOC124900756 	 0 	 0 	 1 	 1
LOC124900754 	 0 	 0 	 0 	 0
COL25A1-DT 	 0 	 0 	 2 	 3
