# Program:featureCounts v2.0.1; Command:"featureCounts" "-Q" "10" "-t" "exon" "-g" "gene_id" "-T" "32" "-a" "data/GCF_000001405.40_GRCh38.p14_genomic.gtf" "-o" "8.features/features_count.txt" "7.samtools/SRR14689338_mixed.bam" "7.samtools/SRR14689339_mixed.bam" "7.samtools/SRR14689340_lymphoblastic.bam"  	  	  	  	  	  	 
Geneid 	 7.samtools/SRR14689338_mixed.bam 	 7.samtools/SRR14689339_mixed.bam 	 7.samtools/SRR14689340_lymphoblastic.bam 	  	  	 
LOC105374402 	 0 	 0 	 0 	  	  	 
MIR4801 	 0 	 0 	 0 	  	  	 
NWD2 	 0 	 0 	 2 	  	  	 
C4orf19 	 1 	 14 	 4 	  	  	 
LOC124900691 	 1 	 2 	 0 	  	  	 
RELL1 	 232 	 330 	 205 	  	  	 
LOC105374404 	 0 	 0 	 0 	  	  	 
LOC105374406 	 0 	 0 	 0 	  	  	 
PGM2 	 653 	 692 	 784 	  	  	 
TBC1D1 	 1746 	 2104 	 1867 	  	  	 
PTTG2 	 1 	 4 	 1 	  	  	 
LOC124900692 	 1 	 5 	 7 	  	  	 
LOC124900693 	 0 	 2 	 5 	  	  	 
LOC105374408 	 0 	 0 	 0 	  	  	 
LOC124900694 	 0 	 0 	 0 	  	  	 
LOC105374409 	 0 	 0 	 0 	  	  	 
LINC02513 	 0 	 0 	 0 	  	  	 
LINC01258 	 0 	 0 	 0 	  	  	 
LINC01259 	 0 	 14 	 1 	  	  	 
LINC02278 	 2 	 1 	 0 	  	  	 
KLF3-AS1 	 44 	 236 	 132 	  	  	 
KLF3 	 1026 	 1900 	 797 	  	  	 
LOC105374413 	 37 	 177 	 58 	  	  	 
TLR10 	 160 	 172 	 282 	  	  	 
TLR1 	 805 	 1113 	 731 	  	  	 
LOC124900695 	 5 	 31 	 14 	  	  	 
TLR6 	 427 	 929 	 539 	  	  	 
FAM114A1 	 35 	 96 	 141 	  	  	 
MIR574 	 0 	 0 	 0 	  	  	 
TMEM156 	 152 	 365 	 207 	  	  	 
KLHL5 	 661 	 1266 	 693 	  	  	 
LOC105374418 	 3 	 13 	 0 	  	  	 
WDR19 	 218 	 661 	 323 	  	  	 
RFC1 	 938 	 1199 	 1265 	  	  	 
KLB 	 4 	 8 	 2 	  	  	 
MIR5591 	 0 	 0 	 0 	  	  	 
RPL9 	 206 	 286 	 131 	  	  	 
LIAS 	 82 	 142 	 86 	  	  	 
LOC401127 	 14 	 22 	 14 	  	  	 
UGDH 	 204 	 221 	 187 	  	  	 
UGDH-AS1 	 32 	 24 	 27 	  	  	 
SMIM14 	 579 	 481 	 353 	  	  	 
SMIM14-DT 	 8 	 12 	 6 	  	  	 
UBE2K 	 1122 	 1608 	 1064 	  	  	 
PDS5A 	 2489 	 3319 	 2831 	  	  	 
LOC344967 	 5 	 15 	 10 	  	  	 
N4BP2 	 1333 	 1132 	 847 	  	  	 
RHOH 	 814 	 961 	 420 	  	  	 
LINC02265 	 0 	 0 	 0 	  	  	 
CHRNA9 	 2 	 2 	 1 	  	  	 
RBM47 	 1205 	 853 	 426 	  	  	 
MIR4802 	 0 	 0 	 0 	  	  	 
NSUN7 	 54 	 30 	 32 	  	  	 
APBB2 	 32 	 17 	 84 	  	  	 
LOC124900907 	 0 	 0 	 0 	  	  	 
UCHL1-DT 	 0 	 0 	 0 	  	  	 
UCHL1 	 1 	 0 	 4 	  	  	 
LIMCH1 	 15 	 3 	 18 	  	  	 
LOC105374423 	 0 	 0 	 1 	  	  	 
LOC105374421 	 0 	 0 	 0 	  	  	 
PHOX2B 	 0 	 0 	 0 	  	  	 
PHOX2B-AS1 	 0 	 0 	 0 	  	  	 
LINC00682 	 0 	 0 	 0 	  	  	 
LOC124900696 	 0 	 0 	 0 	  	  	 
LOC105374426 	 5 	 0 	 0 	  	  	 
TMEM33 	 581 	 848 	 626 	  	  	 
DCAF4L1 	 3 	 24 	 9 	  	  	 
SLC30A9 	 574 	 816 	 517 	  	  	 
BEND4 	 3 	 30 	 5 	  	  	 
LOC124900697 	 0 	 0 	 0 	  	  	 
LOC105374428 	 1 	 0 	 0 	  	  	 
SHISA3 	 0 	 1 	 3 	  	  	 
ATP8A1 	 1769 	 1680 	 706 	  	  	 
LOC124900698 	 0 	 0 	 1 	  	  	 
LOC105374430 	 0 	 4 	 0 	  	  	 
GRXCR1 	 0 	 0 	 0 	  	  	 
LOC105374432 	 0 	 0 	 0 	  	  	 
LOC105374434 	 0 	 0 	 0 	  	  	 
LOC105374433 	 0 	 0 	 0 	  	  	 
LINC02383 	 0 	 0 	 0 	  	  	 
LOC124900848 	 0 	 0 	 0 	  	  	 
LOC124900849 	 0 	 0 	 0 	  	  	 
LOC105374438 	 0 	 0 	 0 	  	  	 
LINC02475 	 0 	 0 	 0 	  	  	 
KCTD8 	 0 	 0 	 0 	  	  	 
LOC107986275 	 0 	 0 	 0 	  	  	 
YIPF7 	 0 	 0 	 3 	  	  	 
GUF1 	 486 	 700 	 419 	  	  	 
GNPDA2 	 160 	 199 	 190 	  	  	 
LOC105374439 	 0 	 1 	 0 	  	  	 
LOC112268465 	 0 	 0 	 0 	  	  	 
LOC105374440 	 0 	 1 	 0 	  	  	 
LOC105374441 	 0 	 0 	 0 	  	  	 
LOC124900850 	 0 	 0 	 0 	  	  	 
GABRG1 	 3 	 0 	 73 	  	  	 
GABRA2 	 9 	 0 	 0 	  	  	 
COX7B2 	 0 	 0 	 0 	  	  	 
GABRA4 	 0 	 0 	 0 	  	  	 
GABRB1 	 0 	 0 	 0 	  	  	 
LOC124900908 	 0 	 0 	 0 	  	  	 
COMMD8 	 303 	 216 	 171 	  	  	 
LOC107986277 	 0 	 0 	 0 	  	  	 
ATP10D 	 536 	 686 	 632 	  	  	 
CORIN 	 4 	 4 	 2 	  	  	 
LOC105374444 	 11 	 21 	 10 	  	  	 
MIR8053 	 0 	 0 	 0 	  	  	 
LOC101927179 	 0 	 0 	 0 	  	  	 
NFXL1 	 238 	 306 	 170 	  	  	 
LOC101927157 	 2 	 0 	 0 	  	  	 
CNGA1 	 1 	 1 	 2 	  	  	 
NIPAL1 	 0 	 5 	 2 	  	  	 
TXK 	 73 	 168 	 17 	  	  	 
TEC 	 300 	 150 	 123 	  	  	 
LOC105374445 	 48 	 67 	 87 	  	  	 
SLAIN2 	 788 	 1192 	 718 	  	  	 
SLC10A4 	 2 	 1 	 4 	  	  	 
ZAR1 	 0 	 0 	 0 	  	  	 
FRYL 	 1260 	 1433 	 1289 	  	  	 
OCIAD1 	 509 	 554 	 507 	  	  	 
OCIAD1-AS1 	 22 	 18 	 24 	  	  	 
OCIAD2 	 122 	 99 	 35 	  	  	 
LOC124900176 	 0 	 0 	 0 	  	  	 
CWH43 	 0 	 0 	 0 	  	  	 
LOC101927209 	 0 	 0 	 0 	  	  	 
DCUN1D4 	 355 	 562 	 481 	  	  	 
LRRC66 	 1 	 4 	 1 	  	  	 
SGCB 	 11 	 43 	 37 	  	  	 
LINC02480 	 0 	 0 	 0 	  	  	 
SPATA18 	 1 	 1 	 8 	  	  	 
LOC107986279 	 0 	 0 	 0 	  	  	 
LOC124900897 	 0 	 0 	 0 	  	  	 
USP46 	 158 	 397 	 280 	  	  	 
USP46-DT 	 11 	 43 	 22 	  	  	 
DANCR 	 247 	 373 	 185 	  	  	 
MIR4449 	 1 	 0 	 0 	  	  	 
SNORA26 	 1 	 9 	 5 	  	  	 
ERVMER34-1 	 0 	 3 	 0 	  	  	 
LOC124900185 	 0 	 0 	 0 	  	  	 
LOC107986281 	 0 	 1 	 0 	  	  	 
LINC01618 	 0 	 1 	 0 	  	  	 
LOC124900700 	 0 	 1 	 0 	  	  	 
RASL11B 	 3 	 0 	 1 	  	  	 
SCFD2 	 639 	 602 	 417 	  	  	 
LOC101928658 	 4 	 8 	 2 	  	  	 
LOC124900701 	 1 	 0 	 0 	  	  	 
LOC105377654 	 1 	 0 	 0 	  	  	 
FIP1L1 	 442 	 422 	 388 	  	  	 
LNX1 	 66 	 73 	 60 	  	  	 
LNX1-AS1 	 0 	 0 	 0 	  	  	 
LNX1-AS2 	 0 	 0 	 0 	  	  	 
LOC100506444 	 0 	 0 	 0 	  	  	 
LOC124900702 	 1 	 2 	 0 	  	  	 
RPL21P44 	 3 	 12 	 3 	  	  	 
CHIC2 	 172 	 206 	 115 	  	  	 
GSX2 	 0 	 0 	 0 	  	  	 
LOC124900899 	 0 	 0 	 0 	  	  	 
PDGFRA 	 19 	 2 	 84 	  	  	 
LINC02283 	 0 	 0 	 0 	  	  	 
LINC02260 	 0 	 0 	 0 	  	  	 
KIT 	 438 	 17 	 25 	  	  	 
LOC105377657 	 0 	 0 	 2 	  	  	 
LINC02358 	 0 	 0 	 0 	  	  	 
LOC124900703 	 0 	 0 	 0 	  	  	 
KDR 	 57 	 1 	 25 	  	  	 
SRD5A3 	 54 	 243 	 159 	  	  	 
SRD5A3-AS1 	 4 	 8 	 9 	  	  	 
LINC02928 	 4 	 16 	 16 	  	  	 
TMEM165 	 491 	 655 	 612 	  	  	 
CLOCK 	 282 	 703 	 437 	  	  	 
LOC124900704 	 1 	 0 	 2 	  	  	 
PDCL2 	 0 	 0 	 0 	  	  	 
NMU 	 0 	 1 	 1 	  	  	 
LOC105377660 	 0 	 0 	 0 	  	  	 
EXOC1L 	 0 	 0 	 0 	  	  	 
LOC105377661 	 0 	 0 	 0 	  	  	 
EXOC1 	 422 	 547 	 473 	  	  	 
LOC105377663 	 110 	 38 	 19 	  	  	 
CEP135 	 347 	 489 	 363 	  	  	 
LOC124900705 	 1 	 4 	 0 	  	  	 
CRACD 	 7 	 17 	 5 	  	  	 
LOC101928760 	 0 	 0 	 0 	  	  	 
LOC124900707 	 0 	 0 	 0 	  	  	 
AASDH 	 257 	 343 	 295 	  	  	 
PPAT 	 324 	 687 	 508 	  	  	 
PAICS 	 1057 	 1509 	 1290 	  	  	 
LOC124900706 	 25 	 11 	 33 	  	  	 
SRP72 	 1454 	 1932 	 1333 	  	  	 
ARL9 	 54 	 96 	 86 	  	  	 
LOC105377665 	 0 	 2 	 3 	  	  	 
THEGL 	 2 	 0 	 1 	  	  	 
HOPX 	 83 	 242 	 154 	  	  	 
LOC124900708 	 0 	 2 	 1 	  	  	 
LOC105377666 	 0 	 0 	 0 	  	  	 
CHAER1 	 0 	 1 	 0 	  	  	 
LOC105377668 	 0 	 0 	 2 	  	  	 
SPINK2 	 21 	 163 	 14 	  	  	 
REST 	 1013 	 1150 	 936 	  	  	 
NOA1 	 659 	 868 	 654 	  	  	 
POLR2B 	 1363 	 1731 	 1340 	  	  	 
IGFBP7 	 343 	 466 	 286 	  	  	 
LOC124900898 	 1 	 1 	 1 	  	  	 
IGFBP7-AS1 	 1 	 24 	 1 	  	  	 
LOC107986283 	 0 	 0 	 0 	  	  	 
LINC02380 	 0 	 0 	 0 	  	  	 
LOC124900904 	 0 	 0 	 0 	  	  	 
LOC105377670 	 0 	 0 	 0 	  	  	 
LINC02494 	 0 	 0 	 0 	  	  	 
LOC124900833 	 0 	 0 	 0 	  	  	 
LOC107986228 	 0 	 0 	 0 	  	  	 
LOC105377672 	 0 	 0 	 0 	  	  	 
LOC105377246 	 0 	 0 	 0 	  	  	 
LINC02429 	 0 	 0 	 0 	  	  	 
LINC02619 	 0 	 0 	 0 	  	  	 
LINC02496 	 0 	 0 	 0 	  	  	 
MIR548AG1 	 0 	 0 	 0 	  	  	 
LINC02271 	 0 	 0 	 0 	  	  	 
LOC124900173 	 0 	 0 	 0 	  	  	 
ADGRL3 	 1 	 0 	 1 	  	  	 
ADGRL3-AS1 	 0 	 0 	 0 	  	  	 
LOC101927145 	 0 	 0 	 0 	  	  	 
LOC124900709 	 0 	 0 	 0 	  	  	 
LOC105377253 	 0 	 0 	 0 	  	  	 
LOC105377254 	 0 	 0 	 0 	  	  	 
LOC124900851 	 0 	 0 	 0 	  	  	 
TECRL 	 0 	 0 	 0 	  	  	 
LOC107986284 	 0 	 0 	 0 	  	  	 
LOC105377255 	 0 	 0 	 0 	  	  	 
LINC02232 	 0 	 0 	 0 	  	  	 
LINC02835 	 0 	 0 	 0 	  	  	 
LOC124900852 	 0 	 0 	 0 	  	  	 
EPHA5 	 0 	 0 	 0 	  	  	 
EPHA5-AS1 	 0 	 0 	 0 	  	  	 
LOC105377258 	 0 	 0 	 0 	  	  	 
LOC105377259 	 0 	 0 	 0 	  	  	 
LOC105377260 	 0 	 0 	 0 	  	  	 
LOC105377261 	 0 	 0 	 0 	  	  	 
MIR1269A 	 0 	 0 	 0 	  	  	 
LOC105377262 	 0 	 0 	 0 	  	  	 
LOC101927237 	 4 	 12 	 5 	  	  	 
CENPC 	 427 	 404 	 625 	  	  	 
STAP1 	 250 	 364 	 307 	  	  	 
UBA6 	 851 	 889 	 894 	  	  	 
UBA6-DT 	 138 	 188 	 223 	  	  	 
GNRHR 	 10 	 24 	 10 	  	  	 
LOC124900175 	 0 	 0 	 0 	  	  	 
LOC102724780 	 9 	 16 	 15 	  	  	 
TMPRSS11D 	 2 	 1 	 0 	  	  	 
TMPRSS11A 	 0 	 1 	 2 	  	  	 
TMPRSS11GP 	 0 	 0 	 0 	  	  	 
TMPRSS11F 	 0 	 1 	 0 	  	  	 
LOC550113 	 0 	 0 	 0 	  	  	 
SYT14P1 	 0 	 0 	 0 	  	  	 
FTLP10 	 0 	 0 	 0 	  	  	 
TMPRSS11BNL 	 0 	 0 	 0 	  	  	 
TMPRSS11B 	 0 	 0 	 0 	  	  	 
YTHDC1 	 0 	 0 	 0 	  	  	 
TMPRSS11E 	 0 	 0 	 0 	  	  	 
UGT2B17 	 1 	 0 	 0 	  	  	 
UGT2B15 	 0 	 0 	 0 	  	  	 
UGT2B10 	 0 	 0 	 0 	  	  	 
LOC124900853 	 0 	 0 	 0 	  	  	 
UGT2A3 	 0 	 0 	 0 	  	  	 
LOC105377265 	 0 	 0 	 0 	  	  	 
UGT2B7 	 0 	 0 	 0 	  	  	 
LOC105377267 	 3 	 11 	 2 	  	  	 
UGT2B11 	 3 	 4 	 1 	  	  	 
UGT2B28 	 0 	 1 	 0 	  	  	 
UGT2B4 	 0 	 0 	 0 	  	  	 
UGT2A1 	 0 	 0 	 0 	  	  	 
UGT2A2 	 0 	 0 	 0 	  	  	 
SULT1B1 	 614 	 208 	 34 	  	  	 
SULT1E1 	 0 	 0 	 0 	  	  	 
CSN1S1 	 0 	 0 	 0 	  	  	 
CSN2 	 0 	 0 	 0 	  	  	 
LOC105377269 	 0 	 0 	 0 	  	  	 
STATH 	 0 	 0 	 0 	  	  	 
HTN3 	 0 	 0 	 0 	  	  	 
HTN1 	 0 	 0 	 0 	  	  	 
CSN1S2AP 	 0 	 0 	 0 	  	  	 
CSN1S2BP 	 0 	 0 	 0 	  	  	 
PRR27 	 0 	 0 	 0 	  	  	 
LOC105377270 	 0 	 0 	 0 	  	  	 
ODAM 	 0 	 0 	 0 	  	  	 
FDCSP 	 0 	 0 	 0 	  	  	 
CSN3 	 0 	 0 	 0 	  	  	 
CABS1 	 0 	 0 	 0 	  	  	 
SMR3A 	 0 	 0 	 0 	  	  	 
SMR3B 	 0 	 0 	 0 	  	  	 
OPRPN 	 0 	 0 	 0 	  	  	 
MUC7 	 0 	 0 	 0 	  	  	 
AMTN 	 0 	 0 	 0 	  	  	 
AMBN 	 8 	 0 	 0 	  	  	 
ENAM 	 49 	 1 	 2 	  	  	 
JCHAIN 	 1504 	 463 	 260 	  	  	 
LOC101927297 	 217 	 4 	 3 	  	  	 
UTP3 	 1018 	 625 	 513 	  	  	 
RUFY3 	 2224 	 436 	 581 	  	  	 
LOC124900900 	 1 	 0 	 0 	  	  	 
GRSF1 	 951 	 887 	 713 	  	  	 
LOC124900710 	 1 	 0 	 1 	  	  	 
LOC124900887 	 0 	 1 	 0 	  	  	 
LOC124900711 	 1 	 1 	 3 	  	  	 
MOB1B 	 1046 	 685 	 445 	  	  	 
DCK 	 1613 	 1210 	 1344 	  	  	 
SLC4A4 	 8 	 20 	 9 	  	  	 
LOC124900712 	 0 	 0 	 0 	  	  	 
LOC124900836 	 0 	 0 	 0 	  	  	 
LOC107986285 	 0 	 0 	 0 	  	  	 
LOC105377271 	 0 	 0 	 0 	  	  	 
GC 	 0 	 0 	 0 	  	  	 
NPFFR2 	 1 	 0 	 0 	  	  	 
ADAMTS3 	 0 	 4 	 5 	  	  	 
LOC105377273 	 0 	 0 	 0 	  	  	 
LOC107986286 	 0 	 0 	 0 	  	  	 
COX18 	 210 	 375 	 262 	  	  	 
LOC112268467 	 0 	 1 	 0 	  	  	 
ANKRD17 	 2301 	 3254 	 2430 	  	  	 
LOC124900713 	 1 	 2 	 1 	  	  	 
ANKRD17-DT 	 33 	 127 	 48 	  	  	 
LOC124900180 	 0 	 0 	 0 	  	  	 
LOC124900606 	 0 	 2 	 0 	  	  	 
ALB 	 0 	 1 	 0 	  	  	 
AFP 	 0 	 0 	 0 	  	  	 
AFM 	 0 	 0 	 0 	  	  	 
LINC02499 	 0 	 0 	 0 	  	  	 
LOC107986287 	 0 	 0 	 0 	  	  	 
RASSF6 	 0 	 7 	 8 	  	  	 
LOC124900714 	 0 	 0 	 0 	  	  	 
LOC105377272 	 0 	 0 	 0 	  	  	 
CXCL8 	 1258 	 125 	 17 	  	  	 
CXCL6 	 1 	 7 	 0 	  	  	 
PF4V1 	 8 	 1 	 1 	  	  	 
CXCL1 	 32 	 34 	 3 	  	  	 
PF4 	 34 	 17 	 31 	  	  	 
PPBP 	 130 	 105 	 120 	  	  	 
CXCL5 	 3 	 1 	 2 	  	  	 
LOC124900715 	 0 	 0 	 0 	  	  	 
CXCL3 	 5 	 2 	 3 	  	  	 
LOC105377275 	 0 	 1 	 0 	  	  	 
PPBPP2 	 0 	 0 	 0 	  	  	 
CXCL2 	 15 	 2 	 3 	  	  	 
MTHFD2L 	 214 	 407 	 292 	  	  	 
LOC105377277 	 0 	 0 	 0 	  	  	 
LOC105377276 	 3 	 6 	 3 	  	  	 
EPGN 	 0 	 3 	 1 	  	  	 
EREG 	 8 	 11 	 4 	  	  	 
AREG 	 29 	 87 	 0 	  	  	 
LOC107986229 	 0 	 0 	 0 	  	  	 
LOC124900716 	 0 	 0 	 0 	  	  	 
BTC 	 1 	 0 	 0 	  	  	 
LOC105377278 	 0 	 0 	 0 	  	  	 
LOC105377282 	 0 	 0 	 0 	  	  	 
LOC105377280 	 0 	 0 	 0 	  	  	 
PARM1 	 20 	 50 	 36 	  	  	 
PARM1-AS1 	 0 	 0 	 0 	  	  	 
LOC107986289 	 0 	 0 	 0 	  	  	 
LINC02562 	 0 	 0 	 0 	  	  	 
LOC100506253 	 0 	 0 	 1 	  	  	 
LINC02483 	 0 	 0 	 0 	  	  	 
LOC107986230 	 1 	 0 	 0 	  	  	 
RCHY1 	 348 	 492 	 313 	  	  	 
THAP6 	 151 	 375 	 251 	  	  	 
LOC124900717 	 0 	 1 	 0 	  	  	 
ODAPH 	 0 	 2 	 1 	  	  	 
CDKL2 	 4 	 0 	 1 	  	  	 
G3BP2 	 1734 	 2056 	 1429 	  	  	 
USO1 	 840 	 1098 	 735 	  	  	 
LOC105377284 	 0 	 0 	 0 	  	  	 
PPEF2 	 6 	 3 	 1 	  	  	 
LOC105377285 	 0 	 0 	 0 	  	  	 
NAAA 	 293 	 452 	 190 	  	  	 
SDAD1 	 395 	 582 	 398 	  	  	 
SDAD1-AS1 	 0 	 0 	 1 	  	  	 
CXCL9 	 27 	 12 	 11 	  	  	 
ART3 	 0 	 2 	 0 	  	  	 
CXCL10 	 20 	 5 	 6 	  	  	 
CXCL11 	 3 	 1 	 0 	  	  	 
NUP54 	 431 	 680 	 513 	  	  	 
LOC124900718 	 1 	 2 	 22 	  	  	 
SCARB2 	 1307 	 986 	 1142 	  	  	 
FAM47E 	 14 	 5 	 6 	  	  	 
LOC105377286 	 4 	 0 	 0 	  	  	 
FAM47E-STBD1 	 0 	 0 	 0 	  	  	 
STBD1 	 42 	 15 	 8 	  	  	 
CCDC158 	 2 	 1 	 0 	  	  	 
LOC124900891 	 0 	 0 	 0 	  	  	 
SHROOM3 	 4 	 78 	 123 	  	  	 
MIR4450 	 0 	 0 	 0 	  	  	 
MIR548AH 	 0 	 0 	 0 	  	  	 
LOC105377290 	 0 	 0 	 0 	  	  	 
SHROOM3-AS1 	 0 	 0 	 1 	  	  	 
LOC124900719 	 0 	 0 	 0 	  	  	 
LOC124900866 	 0 	 0 	 0 	  	  	 
SOWAHB 	 0 	 2 	 0 	  	  	 
LOC105377294 	 27 	 31 	 18 	  	  	 
SEPTIN11 	 1493 	 2881 	 2448 	  	  	 
LOC105377291 	 41 	 60 	 56 	  	  	 
CCNI 	 2545 	 2549 	 2444 	  	  	 
LOC101928864 	 7 	 4 	 3 	  	  	 
CCNG2 	 549 	 640 	 459 	  	  	 
LOC107986292 	 0 	 2 	 1 	  	  	 
LOC105377295 	 0 	 0 	 0 	  	  	 
CXCL13 	 8 	 2 	 0 	  	  	 
LOC105377296 	 2 	 0 	 1 	  	  	 
LOC105377297 	 1 	 1 	 0 	  	  	 
CNOT6L 	 1988 	 2686 	 2054 	  	  	 
MRPL1 	 190 	 204 	 204 	  	  	 
LOC102724916 	 0 	 0 	 1 	  	  	 
FRAS1 	 3 	 6 	 118 	  	  	 
LOC107986293 	 1 	 0 	 6 	  	  	 
SNORD161 	 0 	 0 	 0 	  	  	 
ANXA3 	 667 	 285 	 94 	  	  	 
LOC124900721 	 0 	 6 	 61 	  	  	 
LOC124900901 	 0 	 0 	 2 	  	  	 
LINC01094 	 31 	 55 	 135 	  	  	 
LOC101928893 	 0 	 1 	 0 	  	  	 
BMP2K 	 458 	 1380 	 1062 	  	  	 
LOC124900722 	 68 	 522 	 124 	  	  	 
LOC105377299 	 1 	 1 	 4 	  	  	 
PAQR3 	 286 	 406 	 359 	  	  	 
LINC01088 	 0 	 0 	 1 	  	  	 
LOC124900723 	 0 	 0 	 0 	  	  	 
NAA11 	 0 	 1 	 1 	  	  	 
LOC105377300 	 0 	 0 	 0 	  	  	 
GK2 	 0 	 0 	 0 	  	  	 
LINC00989 	 0 	 0 	 3 	  	  	 
LOC107986294 	 0 	 0 	 0 	  	  	 
LINC02469 	 0 	 0 	 0 	  	  	 
LOC105377302 	 0 	 0 	 0 	  	  	 
PCAT4 	 0 	 0 	 0 	  	  	 
LOC124900174 	 0 	 0 	 0 	  	  	 
ANTXR2 	 1474 	 2387 	 1221 	  	  	 
LOC124900724 	 18 	 6 	 5 	  	  	 
PRDM8-AS1 	 70 	 117 	 87 	  	  	 
PRDM8 	 831 	 1474 	 1309 	  	  	 
LOC124900725 	 0 	 0 	 0 	  	  	 
FGF5 	 0 	 3 	 3 	  	  	 
CFAP299 	 1 	 0 	 15 	  	  	 
LOC105377305 	 0 	 0 	 0 	  	  	 
BMP3 	 9 	 198 	 428 	  	  	 
PRKG2 	 15 	 113 	 136 	  	  	 
PRKG2-AS1 	 0 	 0 	 0 	  	  	 
LOC124900726 	 0 	 0 	 0 	  	  	 
RASGEF1B 	 444 	 148 	 62 	  	  	 
LOC105377306 	 0 	 0 	 1 	  	  	 
LOC105377308 	 2 	 2 	 1 	  	  	 
VAMP9P 	 0 	 0 	 0 	  	  	 
HNRNPD 	 1254 	 1516 	 1523 	  	  	 
HNRNPD-DT 	 15 	 16 	 8 	  	  	 
LOC124900890 	 0 	 0 	 0 	  	  	 
HNRNPDL 	 1899 	 2712 	 2405 	  	  	 
ENOPH1 	 599 	 715 	 656 	  	  	 
LOC105377310 	 8 	 48 	 21 	  	  	 
TMEM150C 	 80 	 410 	 424 	  	  	 
LINC00575 	 0 	 0 	 0 	  	  	 
SCD5 	 261 	 415 	 860 	  	  	 
LOC124900727 	 2 	 6 	 19 	  	  	 
MIR575 	 0 	 0 	 0 	  	  	 
SEC31A 	 1515 	 1872 	 1324 	  	  	 
THAP9-AS1 	 358 	 443 	 601 	  	  	 
SNORD143 	 19 	 21 	 31 	  	  	 
SNORD144 	 7 	 1 	 10 	  	  	 
THAP9 	 109 	 130 	 182 	  	  	 
LIN54 	 372 	 271 	 266 	  	  	 
COPS4 	 379 	 333 	 323 	  	  	 
PLAC8 	 608 	 519 	 122 	  	  	 
LOC124900167 	 5 	 8 	 1 	  	  	 
COQ2 	 130 	 159 	 142 	  	  	 
HPSE 	 387 	 396 	 860 	  	  	 
LOC105377313 	 0 	 0 	 0 	  	  	 
HELQ 	 241 	 312 	 266 	  	  	 
MRPS18C 	 20 	 27 	 28 	  	  	 
ABRAXAS1 	 142 	 276 	 135 	  	  	 
GPAT3 	 228 	 269 	 77 	  	  	 
LOC105377315 	 0 	 0 	 0 	  	  	 
LINC02994 	 0 	 0 	 0 	  	  	 
NKX6-1 	 0 	 0 	 0 	  	  	 
LOC102723338 	 0 	 0 	 0 	  	  	 
CDS1 	 1 	 4 	 3 	  	  	 
LOC124900854 	 0 	 2 	 2 	  	  	 
WDFY3 	 842 	 1119 	 799 	  	  	 
WDFY3-AS1 	 0 	 0 	 0 	  	  	 
WDFY3-AS2 	 11 	 8 	 30 	  	  	 
ARHGAP24 	 1314 	 127 	 29 	  	  	 
LOC105377319 	 115 	 3 	 0 	  	  	 
LOC124900728 	 159 	 0 	 0 	  	  	 
MIR4451 	 0 	 0 	 0 	  	  	 
MAPK10 	 1 	 0 	 12 	  	  	 
MAPK10-AS1 	 0 	 0 	 0 	  	  	 
MIR4452 	 0 	 0 	 0 	  	  	 
PTPN13 	 17 	 14 	 24 	  	  	 
SLC10A6 	 0 	 2 	 0 	  	  	 
C4orf36 	 4 	 20 	 10 	  	  	 
AFF1-AS1 	 35 	 49 	 31 	  	  	 
AFF1 	 2705 	 3476 	 1921 	  	  	 
LOC105377320 	 0 	 0 	 8 	  	  	 
KLHL8 	 479 	 621 	 515 	  	  	 
MIR5705 	 0 	 0 	 0 	  	  	 
HSD17B13 	 5 	 18 	 8 	  	  	 
HSD17B11 	 818 	 921 	 499 	  	  	 
NUDT9 	 224 	 293 	 292 	  	  	 
LOC105377321 	 0 	 0 	 0 	  	  	 
SPARCL1 	 26 	 116 	 278 	  	  	 
LOC124900729 	 0 	 1 	 0 	  	  	 
DSPP 	 0 	 0 	 0 	  	  	 
DMP1 	 0 	 0 	 1 	  	  	 
LOC105377323 	 0 	 0 	 0 	  	  	 
LOC105377324 	 0 	 0 	 0 	  	  	 
IBSP 	 21 	 4 	 34 	  	  	 
MEPE 	 0 	 0 	 0 	  	  	 
LOC124900730 	 0 	 0 	 0 	  	  	 
SPP1 	 20 	 8 	 302 	  	  	 
PKD2 	 830 	 869 	 1091 	  	  	 
ABCG2 	 18 	 52 	 198 	  	  	 
LOC124900867 	 0 	 0 	 1 	  	  	 
PPM1K 	 285 	 809 	 551 	  	  	 
PPM1K-DT 	 0 	 3 	 0 	  	  	 
LOC124900731 	 0 	 0 	 4 	  	  	 
LOC105377326 	 0 	 0 	 0 	  	  	 
HERC6 	 99 	 260 	 225 	  	  	 
LOC102723458 	 33 	 160 	 369 	  	  	 
HERC5 	 125 	 267 	 603 	  	  	 
PIGY 	 0 	 0 	 0 	  	  	 
PYURF 	 0 	 0 	 0 	  	  	 
PIGY-DT 	 1 	 1 	 0 	  	  	 
HERC3 	 1005 	 839 	 698 	  	  	 
NAP1L5 	 91 	 71 	 79 	  	  	 
FAM13A-AS1 	 105 	 135 	 102 	  	  	 
FAM13A 	 288 	 379 	 236 	  	  	 
LOC124900732 	 4 	 12 	 5 	  	  	 
LOC105377327 	 1 	 3 	 4 	  	  	 
TIGD2 	 156 	 123 	 216 	  	  	 
LOC124900834 	 0 	 0 	 0 	  	  	 
GPRIN3 	 1891 	 5045 	 314 	  	  	 
